date,naps,longestSleep,totalSleep,daySleep,nightSleep,nightWakings,timezone
2020-07-19,0,0,0,0,0,0,None
2020-07-20,2,3464,5298,1100,4198,5,None
2020-07-21,4,7141,22982,12930,10052,6,None
2020-07-22,4,6752,20960,11021,9939,5,None
2020-07-23,4,6428,22512,12703,9809,3,None
2020-07-24,3,8781,24132,8212,15920,3,None
2020-07-25,4,5564,26631,13812,12819,2,None
2020-07-26,4,7828,27327,11217,16110,4,None
2020-07-27,6,6376,30263,17661,12602,6,None
2020-07-28,3,6926,28689,10392,18297,6,None
2020-07-29,4,4625,19244,9284,9960,6,None
2020-07-30,4,8282,31743,13747,17996,5,None
2020-07-31,3,8067,30679,9963,20716,4,None
2020-08-01,2,5678,28406,7486,20920,5,None
2020-08-02,7,5815,29732,16215,13517,5,None
2020-08-03,4,5600,24550,7834,16716,7,None
2020-08-04,4,6130,26822,14511,12311,5,None
2020-08-05,6,6741,33795,18627,15168,7,None
2020-08-06,7,8363,31672,12518,19154,3,None
2020-08-07,5,6305,24077,10050,14027,5,None
2020-08-08,3,7987,34382,15418,18964,4,None
2020-08-09,3,7779,34413,13870,20543,5,None
2020-08-10,3,8675,40831,19179,21652,4,None
2020-08-11,5,7633,37322,17295,20027,6,None
2020-08-12,3,8722,27509,10202,17307,4,None
2020-08-13,5,8275,36686,16726,19960,6,None
2020-08-14,3,8281,34058,17208,16850,7,None
2020-08-15,5,7992,32258,11498,20760,7,None
2020-08-16,5,9037,36278,14553,21725,3,None
2020-08-17,4,11015,32939,13403,19536,6,None
2020-08-18,4,7731,29646,6342,23304,3,None
2020-08-19,5,8920,31795,10993,20802,3,None
2020-08-20,4,6560,36696,16097,20599,5,None
2020-08-21,4,10715,35459,17058,18401,4,None
2020-08-22,4,9565,30797,12123,18674,4,None
2020-08-23,3,13041,38917,17345,21572,6,None
2020-08-24,3,9740,33035,20324,12711,3,None
2020-08-25,3,11111,39429,15878,23551,6,None
2020-08-26,3,11636,37517,18415,19102,6,None
2020-08-27,3,10338,31146,11276,19870,8,None
2020-08-28,2,11462,38211,15862,22349,4,None
2020-08-29,4,14270,36006,18020,17986,9,None
2020-08-30,3,9275,36158,14365,21793,6,None
2020-08-31,5,13380,41351,18437,22914,5,None
2020-09-01,4,10886,31074,10039,21035,6,None
2020-09-02,3,12944,32522,14037,18485,7,None
2020-09-03,2,16675,40353,19735,20618,5,None
2020-09-04,2,23651,43651,21887,21764,3,None
2020-09-05,3,13655,36790,20298,16492,4,None
2020-09-06,3,12346,39085,19564,19521,5,None
2020-09-07,2,17857,39324,16583,22741,5,None
2020-09-08,3,10429,29275,8037,21238,7,None
2020-09-09,4,20951,38796,14916,23880,6,None
2020-09-10,2,17544,36576,14926,21650,3,None
2020-09-11,0,0,0,0,0,0,None

